id,name,price,text,image
0,시저 쇠고기 캔 100g,"1,700원","시저 쇠고기 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형 잡힌 영양식으로써 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식사료를 건식사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방 함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/2/1716_detail_01657259.jpg
1,시저 쇠고기와 치즈 캔 100g,"1,700원","시저 쇠고기와 치즈 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형 잡힌 영양식으로 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식 사료를 건식 사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방 함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다.",http://img.dogpre.com/web/dogpre/product/2/1711_detail_01512912.jpg
2,시저 쇠고기와 참치 캔 100g,"1,700원","시저 쇠고기와 참치 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형 잡힌 영양식으로 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식 사료를 건식 사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방 함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후 냉장보관 해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다.",http://img.dogpre.com/web/dogpre/product/2/1710_detail_01448487.jpg
3,시저 양고기 캔 100g,"1,700원","시저 양고기 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형 잡힌 영양식으로 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식 사료를 건식 사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방 함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다.",http://img.dogpre.com/web/dogpre/product/2/1714_detail_01288254.jpg
4,시저 불고기 캔 100g,"1,700원","시저 불고기 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형 잡힌 영양식으로써 시저만으로도 완벽한 영양관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식사료를 건식사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방 함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후에는 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다.",http://img.dogpre.com/web/dogpre/product/2/1713_detail_01360859.jpg
5,시저 흰살생선과 야채 캔 100g,"1,700원","시저 생선과 야채 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형 잡힌 영양식으로 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식 사료를 건식 사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방 함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다. 신선한 물과 함께 급여 해 주시고, 서늘하고 건조한 곳에 보관 해 주세요. 변질의 우려가 있으니, 개봉 후 가급적 빨리 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/23/22653_detail_0742.jpg
6,시저 닭고기 캔 100g,"1,700원","시저 닭고기 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형잡힌 영양식으로 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식 사료를 건식 사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후에는 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다.",http://img.dogpre.com/web/dogpre/product/2/1715_detail_01032600.jpg
7,시저 쇠고기와 닭고기 캔 100g,"1,700원","시저 쇠고기와 닭고기 캔은 애견의 식이 습성을 유지해주고 수분 보충을 도우며 미네랄을 공급하여 반려견의 건강을 지켜주는 제품입니다. 애견에게 꼭 필요한 필수 아미노산, 지방산, 비타민, 미네랄 등을 균형있게 공급해 줄 수 있는 100% 균형잡힌 영양식으로써 시저만으로도 완벽한 영양 관리가 가능하며 유럽과 같이 반려견 문화가 발달한 선진국에서는 습식 사료를 건식 사료보다 많이 급여하고 있습니다. 일부 보호자들은 시저가 비만을 일으킬 수 있다고 생각하지만, 한 개당 100Kcal로 같은 무게의 건사료에 비해 칼로리가 25%밖에 되지 않고, 낮은 지방함량을 가지고 있어 쉽게 포만감을 주기 때문에 체중을 쉽게 조절할 수 있는 장점을 가지고 있습니다. 또, 85%가 수분으로 구성되어 있어 체내의 수분 밸런스를 적절하게 유지해주며, 체내 세포 활성화에도 도움이 되고 반려견의 피부와 털의 상태를 최상으로 유지시켜줍니다. 소형견에게는 비뇨기 질환이 일어나기 쉬운데, 시저를 통한 자연스러운 수분 섭취는 요로결석과 같은 비뇨기 질환의 발병률을 현저히 낮춰줍니다. 늘 신선한 물과 함께 급여해주시고 서늘하고 건조한 곳에 보관하시며 직사광선은 피해 주십시오. 개봉 후 냉장 보관해 주시고 변질의 우려가 있으니 개봉 후 가급적 빨리 급여해 주시기 바랍니다. 알루미늄 캔의 특성상 강도가 약하여 눌릴 수 있으나, 인체에 무해하며 무게가 가볍고 녹이 안 생기며 개관성이 우수합니다.",http://img.dogpre.com/web/dogpre/product/2/1712_detail_01528301.jpg
8,시저 11세이상 쇠고기 캔 100g,"1,700원","시저 11세이상 쇠고기는 11세 이상의 반려견들에게 적합한 습식 사료입니다. 부드러운 텍스처로 치아가 약한 반려견에게 급여 가능하며, 현미와 식물성 섬유 첨가로 소화에 용이합니다. 또한, 건사료 대비 1/4 칼로리로 체중 조절을 할 수 있는 장점을 가지고 있고, 각종 과일과 야채로 만들어 노화 방지에 도움이 됩니다. 직사광선은 피해 주시고, 변질의 우려가 있으니 개봉 후에는 냉장고에 보관하며 가급적 빨리 급여해 주세요.",http://img.dogpre.com/web/dogpre/product/57/56061_detail_01762486.jpg
9,시저 14세이상 닭고기 현미와 야채 캔 100g,"1,700원","시저 14세이상 닭고기 현미와 야채는 14세 이상의 반려견들에게 적합한 습식 사료입니다. 부드러운 텍스처로 치아가 약한 반려견에게 급여 가능하며, 현미와 식물성 섬유 첨가로 소화에 용이합니다. 또한, 건사료 대비 1/4 칼로리로 체중 조절을 할 수 있는 장점을 가지고 있고, 각종 과일과 야채로 만들어 노화 방지에 도움이 됩니다. 직사광선은 피해 주시고, 변질의 우려가 있으니 개봉 후에는 냉장고에 보관하며 가급적 빨리 급여해 주세요.",http://img.dogpre.com/web/dogpre/product/57/56064_detail_01796482.jpg
